top1_success,top10_hits,best_percentile,normalized_regret,unique_loci,invalid_action_rate,cost_usd,DMS_id,seed,method
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,thompson
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,11,prior_first_al
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,folde_lite
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,cider_fixed
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,cider_qwen35_4b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,cider_qwen3_8b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,cider_gpt_oss_20b
1,12,99.7649973219068,0.5549420118331909,4,0.0,0.0,SPG1_STRSG_Wu_2016,23,random
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,23,plm_greedy
1,25,99.7649973219068,0.5549420118331909,4,0.0,0.0,SPG1_STRSG_Wu_2016,23,plm_diverse
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,ucb
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,ei
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,thompson
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,23,prior_first_al
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,folde_lite
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,cider_fixed
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,cider_qwen35_4b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,cider_qwen3_8b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,23,cider_gpt_oss_20b
0,7,97.16322978039636,0.9066738486289978,4,0.0,0.0,SPG1_STRSG_Wu_2016,37,random
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,37,plm_greedy
1,25,99.7649973219068,0.5549420118331909,4,0.0,0.0,SPG1_STRSG_Wu_2016,37,plm_diverse
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,ucb
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,ei
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,thompson
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,37,prior_first_al
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,folde_lite
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,cider_fixed
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,cider_qwen35_4b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,cider_qwen3_8b
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,37,cider_gpt_oss_20b
0,16,97.65015939147176,0.3461312651634216,29,0.0,0.0,GRB2_HUMAN_Faure_2021,11,random
1,26,99.32771517848688,0.2783282399177551,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,plm_greedy
0,17,98.31928794621722,0.3274843394756317,16,0.0,0.0,GRB2_HUMAN_Faure_2021,11,plm_diverse
0,23,95.9473534703153,0.384217232465744,3,0.0,0.0,GRB2_HUMAN_Faure_2021,11,ucb
